Complaint_ID,Customer_ID,Complaint_Type,Priority,Created_Date,Closed_Date,TAT_Hours,Status
CMP00001,C100021,Billing Issue,Low,2025-12-26,,,Pending
CMP00002,C100449,Billing Issue,Medium,2025-03-04,2025-03-07,95.65,Closed
CMP00003,C100079,Gas Leakage,High,2025-04-03,2025-04-03,1.17,Closed
CMP00004,C100683,Low Pressure,Medium,2025-01-26,2025-01-26,16.75,Closed
CMP00005,C100359,Low Pressure,Low,2025-07-29,2025-07-29,8.85,Closed
CMP00006,C100629,Low Pressure,Medium,2025-10-08,2025-10-08,13.46,Closed
CMP00007,C100452,Low Pressure,Medium,2025-11-04,,,Pending
CMP00008,C100162,No Gas Supply,Low,2025-01-30,2025-01-30,2.94,Closed
CMP00009,C100518,No Gas Supply,Medium,2025-07-07,,,Pending
CMP00010,C100327,Billing Issue,Low,2025-02-25,,,Pending
CMP00011,C100968,Billing Issue,Low,2025-11-23,2025-11-24,36.27,Closed
CMP00012,C100048,Gas Leakage,High,2025-05-13,2025-05-13,1.29,Closed
CMP00013,C100637,Gas Leakage,High,2025-06-06,2025-06-06,2.19,Closed
CMP00014,C100995,Low Pressure,Medium,2025-11-23,,,Pending
CMP00015,C100950,No Gas Supply,Low,2025-11-15,2025-11-15,1.17,Closed
CMP00016,C100558,Meter Issue,Medium,2025-07-18,,,Pending
CMP00017,C100814,Billing Issue,Low,2025-01-02,,,Pending
CMP00018,C100415,Low Pressure,Medium,2025-06-09,2025-06-09,7.07,Closed
CMP00019,C100172,Gas Leakage,High,2025-07-12,2025-07-12,2.56,Closed
CMP00020,C100911,Billing Issue,Low,2025-01-14,2025-01-20,165.08,Closed
CMP00021,C100730,Meter Issue,Low,2025-10-18,2025-10-20,69.98,Closed
CMP00022,C100546,Low Pressure,Low,2025-05-21,2025-05-21,7.78,Closed
CMP00023,C100925,Billing Issue,Medium,2025-08-20,,,Pending
CMP00024,C100568,No Gas Supply,Low,2025-07-31,,,Pending
CMP00025,C100247,Low Pressure,Low,2025-01-02,2025-01-02,23.45,Closed
CMP00026,C100197,Gas Leakage,High,2025-10-05,2025-10-05,1.32,Closed
CMP00027,C100380,Billing Issue,Medium,2025-11-05,2025-11-09,110.94,Closed
CMP00028,C100672,Low Pressure,Low,2025-02-15,,,Pending
CMP00029,C100273,Billing Issue,Medium,2025-11-19,2025-11-23,111.48,Closed
CMP00030,C100286,Gas Leakage,High,2025-08-22,2025-08-22,2.09,Closed
CMP00031,C100107,Meter Issue,Medium,2025-10-03,2025-10-09,155.82,Closed
CMP00032,C100308,No Gas Supply,Low,2025-04-12,2025-04-12,2.92,Closed
CMP00033,C100937,Low Pressure,Medium,2025-11-24,,,Pending
CMP00034,C100310,No Gas Supply,Medium,2025-10-05,2025-10-05,2.39,Closed
CMP00035,C100453,Low Pressure,Low,2025-10-10,2025-10-10,20.5,Closed
CMP00036,C100912,Gas Leakage,High,2025-11-08,2025-11-08,2.48,Closed
CMP00037,C100794,Gas Leakage,High,2025-08-09,2025-08-09,2.11,Closed
CMP00038,C100845,Gas Leakage,High,2025-08-10,2025-08-10,1.58,Closed
CMP00039,C100704,Meter Issue,Low,2025-01-22,2025-01-24,56.72,Closed
CMP00040,C100093,Billing Issue,Low,2025-07-31,,,Pending
CMP00041,C100059,No Gas Supply,Low,2025-12-29,,,Pending
CMP00042,C100489,No Gas Supply,Medium,2025-05-01,2025-05-01,1.53,Closed
CMP00043,C100146,Gas Leakage,High,2025-06-14,2025-06-14,2.83,Closed
CMP00044,C100663,Gas Leakage,High,2025-06-21,2025-06-21,2.25,Closed
CMP00045,C100539,Gas Leakage,High,2025-10-07,2025-10-07,0.76,Closed
CMP00046,C100135,Gas Leakage,High,2025-07-02,2025-07-02,2.78,Closed
CMP00047,C100178,Billing Issue,Low,2025-08-31,,,Pending
CMP00048,C100935,Gas Leakage,High,2025-12-10,2025-12-10,1.18,Closed
CMP00049,C100191,Meter Issue,Low,2025-12-22,2025-12-27,123.71,Closed
CMP00050,C100886,Gas Leakage,High,2025-01-18,2025-01-18,1.65,Closed
CMP00051,C100061,Low Pressure,Medium,2025-08-06,2025-08-06,9.39,Closed
CMP00052,C100181,Gas Leakage,High,2025-06-16,2025-06-16,1.02,Closed
CMP00053,C100307,Low Pressure,Medium,2025-12-11,2025-12-11,15.58,Closed
CMP00054,C100173,Billing Issue,Low,2025-11-01,2025-11-04,83.29,Closed
CMP00055,C100498,Meter Issue,Low,2025-10-21,2025-10-25,113.92,Closed
CMP00056,C100931,Gas Leakage,High,2025-12-19,,,Pending
CMP00057,C100992,Meter Issue,Low,2025-12-19,2025-12-24,124.22,Closed
CMP00058,C100240,Low Pressure,Low,2025-12-07,2025-12-07,20.39,Closed
CMP00059,C100495,Meter Issue,Medium,2025-07-03,2025-07-09,146.86,Closed
CMP00060,C100447,Low Pressure,Medium,2025-07-22,2025-07-22,16.51,Closed
CMP00061,C100572,No Gas Supply,Medium,2025-11-30,2025-11-30,2.93,Closed
CMP00062,C100944,Meter Issue,Medium,2025-11-25,2025-11-28,95.44,Closed
CMP00063,C100784,Low Pressure,Medium,2025-07-29,2025-07-29,21.75,Closed
CMP00064,C100354,Gas Leakage,High,2025-01-17,,,Pending
CMP00065,C100702,Billing Issue,Medium,2025-11-14,,,Pending
CMP00066,C100380,Gas Leakage,High,2025-08-12,2025-08-12,2.54,Closed
CMP00067,C100813,Billing Issue,Low,2025-02-09,,,Pending
CMP00068,C100114,No Gas Supply,Medium,2025-03-08,,,Pending
CMP00069,C100382,Low Pressure,Medium,2025-09-27,2025-09-27,20.35,Closed
CMP00070,C100961,Low Pressure,Medium,2025-06-24,2025-06-24,6.5,Closed
CMP00071,C100998,Low Pressure,Low,2025-04-17,2025-04-17,15.41,Closed
CMP00072,C100491,Low Pressure,Medium,2025-10-29,,,Pending
CMP00073,C100843,Billing Issue,Low,2025-03-07,2025-03-11,98.39,Closed
CMP00074,C100043,Billing Issue,Medium,2025-05-18,2025-05-19,37.42,Closed
CMP00075,C100944,No Gas Supply,Low,2025-08-14,2025-08-14,1.74,Closed
CMP00076,C100308,No Gas Supply,Medium,2025-12-07,2025-12-07,2.03,Closed
CMP00077,C100597,Meter Issue,Low,2025-04-15,2025-04-16,24.97,Closed
CMP00078,C100533,Low Pressure,Low,2025-08-27,,,Pending
CMP00079,C100895,Gas Leakage,High,2025-01-02,2025-01-02,0.52,Closed
CMP00080,C100724,Low Pressure,Medium,2025-09-18,2025-09-18,15.74,Closed
CMP00081,C100698,Billing Issue,Medium,2025-07-16,,,Pending
CMP00082,C100038,Low Pressure,Low,2025-02-09,2025-02-09,12.22,Closed
CMP00083,C100358,No Gas Supply,Medium,2025-10-19,2025-10-19,2.96,Closed
CMP00084,C100076,Low Pressure,Low,2025-12-01,2025-12-01,21.01,Closed
