Reading_ID,Reading_Date,Customer_ID,Previous_Reading,Current_Reading,Consumption_SCM,Correction_Factor,Corrected_Consumption_SCM,Rate_Per_SCM,Total_Sales
R000001,2025-01-01,C100001,1596,1647,51,1.01,51.51,55,2833.05
R000002,2025-01-01,C100002,2882,2982,100,1.03,103.0,55,5665.0
R000003,2025-01-01,C100003,2863,2932,69,1.01,69.69,55,3832.95
R000004,2025-01-01,C100004,4898,4940,42,1.03,43.26,55,2379.3
R000005,2025-01-01,C100005,4157,4243,86,1.03,88.58,55,4871.9
R000006,2025-01-01,C100006,1715,1782,67,1.04,69.68,55,3832.4
R000007,2025-01-01,C100007,3889,3924,35,1.04,36.4,55,2002.0
R000008,2025-01-01,C100008,2609,2657,48,1.01,48.48,55,2666.4
R000009,2025-01-01,C100009,3998,4086,88,1.04,91.52,55,5033.6
R000010,2025-01-01,C100010,2432,2502,70,1.01,70.7,55,3888.5
R000011,2025-01-01,C100011,2775,2809,34,1.04,35.36,55,1944.8
R000012,2025-01-01,C100012,3076,3176,100,1.05,105.0,55,5775.0
R000013,2025-01-01,C100013,4276,4373,97,1.05,101.85,55,5601.75
R000014,2025-01-01,C100014,1450,1492,42,1.01,42.42,55,2333.1
R000015,2025-01-01,C100015,3182,3256,74,1.05,77.7,55,4273.5
R000016,2025-01-01,C100016,1496,1596,100,1.05,105.0,55,5775.0
R000017,2025-01-01,C100017,1328,1395,67,1.01,67.67,55,3721.85
R000018,2025-01-01,C100018,4017,4090,73,1.01,73.73,55,4055.15
R000019,2025-01-01,C100019,2867,2920,53,1.05,55.65,55,3060.75
R000020,2025-01-01,C100020,2078,2161,83,1.01,83.83,55,4610.65
R000021,2025-01-01,C100021,1196,1295,99,1.04,102.96,55,5662.8
R000022,2025-01-01,C100022,3698,3771,73,1.05,76.65,55,4215.75
R000023,2025-01-01,C100023,4821,4914,93,1.01,93.93,55,5166.15
R000024,2025-01-01,C100024,3652,3740,88,1.03,90.64,55,4985.2
R000025,2025-01-01,C100025,4879,4941,62,1.05,65.1,55,3580.5
R000026,2025-01-01,C100026,1837,1916,79,1.01,79.79,55,4388.45
R000027,2025-01-01,C100027,2373,2453,80,1.05,84.0,55,4620.0
R000028,2025-01-01,C100028,1940,1971,31,1.02,31.62,55,1739.1
R000029,2025-01-01,C100029,2267,2320,53,1.04,55.12,55,3031.6
R000030,2025-01-01,C100030,4436,4466,30,1.02,30.6,55,1683.0
R000031,2025-01-01,C100031,4145,4228,83,1.02,84.66,55,4656.3
R000032,2025-01-01,C100032,1835,1892,57,1.03,58.71,55,3229.05
R000033,2025-01-01,C100033,4935,4974,39,1.02,39.78,55,2187.9
R000034,2025-01-01,C100034,1730,1825,95,1.01,95.95,55,5277.25
R000035,2025-01-01,C100035,1576,1648,72,1.05,75.6,55,4158.0
R000036,2025-01-01,C100036,1772,1814,42,1.05,44.1,55,2425.5
R000037,2025-01-01,C100037,4657,4723,66,1.04,68.64,55,3775.2
R000038,2025-01-01,C100038,2421,2475,54,1.01,54.54,55,2999.7
R000039,2025-01-01,C100039,2515,2596,81,1.04,84.24,55,4633.2
R000040,2025-01-01,C100040,3565,3637,72,1.05,75.6,55,4158.0
R000041,2025-01-01,C100041,2678,2752,74,1.03,76.22,55,4192.1
R000042,2025-01-01,C100042,4945,5039,94,1.04,97.76,55,5376.8
R000043,2025-01-01,C100043,4419,4489,70,1.02,71.4,55,3927.0
R000044,2025-01-01,C100044,1863,1936,73,1.05,76.65,55,4215.75
R000045,2025-01-01,C100045,2650,2701,51,1.01,51.51,55,2833.05
R000046,2025-01-01,C100046,4916,5016,100,1.04,104.0,55,5720.0
R000047,2025-01-01,C100047,2888,2966,78,1.02,79.56,55,4375.8
R000048,2025-01-01,C100048,3274,3308,34,1.03,35.02,55,1926.1
R000049,2025-01-01,C100049,2129,2226,97,1.02,98.94,55,5441.7
R000050,2025-01-01,C100050,4691,4787,96,1.05,100.8,55,5544.0
R000051,2025-01-01,C100051,4245,4340,95,1.04,98.8,55,5434.0
R000052,2025-01-01,C100052,4350,4438,88,1.01,88.88,55,4888.4
R000053,2025-01-01,C100053,2536,2587,51,1.01,51.51,55,2833.05
R000054,2025-01-01,C100054,1657,1689,32,1.03,32.96,55,1812.8
R000055,2025-01-01,C100055,4508,4541,33,1.03,33.99,55,1869.45
R000056,2025-01-01,C100056,3656,3748,92,1.04,95.68,55,5262.4
R000057,2025-01-01,C100057,3615,3652,37,1.03,38.11,55,2096.05
R000058,2025-01-01,C100058,1508,1565,57,1.03,58.71,55,3229.05
R000059,2025-01-01,C100059,1739,1783,44,1.03,45.32,55,2492.6
R000060,2025-01-01,C100060,1023,1057,34,1.03,35.02,55,1926.1
R000061,2025-01-01,C100061,3468,3518,50,1.05,52.5,55,2887.5
R000062,2025-01-01,C100062,2620,2709,89,1.03,91.67,55,5041.85
R000063,2025-01-01,C100063,1604,1688,84,1.03,86.52,55,4758.6
R000064,2025-01-01,C100064,4168,4230,62,1.04,64.48,55,3546.4
R000065,2025-01-01,C100065,4487,4525,38,1.02,38.76,55,2131.8
R000066,2025-01-01,C100066,3318,3397,79,1.02,80.58,55,4431.9
R000067,2025-01-01,C100067,1665,1708,43,1.04,44.72,55,2459.6
R000068,2025-01-01,C100068,1789,1845,56,1.01,56.56,55,3110.8
R000069,2025-01-01,C100069,1684,1780,96,1.01,96.96,55,5332.8
R000070,2025-01-01,C100070,4445,4499,54,1.01,54.54,55,2999.7
R000071,2025-01-01,C100071,1107,1188,81,1.05,85.05,55,4677.75
R000072,2025-01-01,C100072,4742,4835,93,1.04,96.72,55,5319.6
R000073,2025-01-01,C100073,3726,3761,35,1.02,35.7,55,1963.5
R000074,2025-01-01,C100074,1971,2046,75,1.04,78.0,55,4290.0
R000075,2025-01-01,C100075,4973,5049,76,1.01,76.76,55,4221.8
R000076,2025-01-01,C100076,2835,2869,34,1.03,35.02,55,1926.1
R000077,2025-01-01,C100077,4274,4326,52,1.03,53.56,55,2945.8
R000078,2025-01-01,C100078,3612,3643,31,1.04,32.24,55,1773.2
R000079,2025-01-01,C100079,4777,4842,65,1.01,65.65,55,3610.75
R000080,2025-01-01,C100080,4695,4781,86,1.01,86.86,55,4777.3
R000081,2025-01-01,C100081,2587,2665,78,1.02,79.56,55,4375.8
R000082,2025-01-01,C100082,1518,1556,38,1.04,39.52,55,2173.6
R000083,2025-01-01,C100083,3555,3621,66,1.05,69.3,55,3811.5
R000084,2025-01-01,C100084,3268,3317,49,1.04,50.96,55,2802.8
R000085,2025-01-01,C100085,4100,4187,87,1.05,91.35,55,5024.25
R000086,2025-01-01,C100086,4967,5028,61,1.01,61.61,55,3388.55
R000087,2025-01-01,C100087,1214,1256,42,1.04,43.68,55,2402.4
R000088,2025-01-01,C100088,3494,3564,70,1.05,73.5,55,4042.5
R000089,2025-01-01,C100089,2012,2043,31,1.03,31.93,55,1756.15
R000090,2025-01-01,C100090,3938,4005,67,1.05,70.35,55,3869.25
R000091,2025-01-01,C100091,3534,3594,60,1.06,63.6,55,3498.0
R000092,2025-01-01,C100092,4174,4208,34,1.02,34.68,55,1907.4
R000093,2025-01-01,C100093,4803,4873,70,1.05,73.5,55,4042.5
R000094,2025-01-01,C100094,3077,3130,53,1.02,54.06,55,2973.3
R000095,2025-01-01,C100095,3924,3991,67,1.05,70.35,55,3869.25
R000096,2025-01-01,C100096,2187,2250,63,1.03,64.89,55,3568.95
R000097,2025-01-01,C100097,3825,3901,76,1.02,77.52,55,4263.6
R000098,2025-01-01,C100098,3418,3458,40,1.06,42.4,55,2332.0
R000099,2025-01-01,C100099,2387,2448,61,1.05,64.05,55,3522.75
R000100,2025-01-01,C100100,3163,3247,84,1.03,86.52,55,4758.6
R000101,2025-01-01,C100101,3792,3834,42,1.01,42.42,55,2333.1
R000102,2025-01-01,C100102,2406,2454,48,1.04,49.92,55,2745.6
R000103,2025-01-01,C100103,3221,3259,38,1.01,38.38,55,2110.9
R000104,2025-01-01,C100104,4498,4541,43,1.06,45.58,55,2506.9
R000105,2025-01-01,C100105,4863,4943,80,1.04,83.2,55,4576.0
R000106,2025-01-01,C100106,2486,2586,100,1.02,102.0,55,5610.0
R000107,2025-01-01,C100107,2980,3073,93,1.02,94.86,55,5217.3
R000108,2025-01-01,C100108,2645,2723,78,1.03,80.34,55,4418.7
R000109,2025-01-01,C100109,4119,4161,42,1.04,43.68,55,2402.4
R000110,2025-01-01,C100110,1253,1309,56,1.02,57.12,55,3141.6
R000111,2025-01-01,C100111,4333,4384,51,1.01,51.51,55,2833.05
R000112,2025-01-01,C100112,1415,1494,79,1.05,82.95,55,4562.25
R000113,2025-01-01,C100113,4647,4707,60,1.05,63.0,55,3465.0
R000114,2025-01-01,C100114,2228,2278,50,1.04,52.0,55,2860.0
R000115,2025-01-01,C100115,3668,3722,54,1.05,56.7,55,3118.5
R000116,2025-01-01,C100116,2779,2850,71,1.04,73.84,55,4061.2
R000117,2025-01-01,C100117,2034,2085,51,1.03,52.53,55,2889.15
R000118,2025-01-01,C100118,1982,2070,88,1.02,89.76,55,4936.8
R000119,2025-01-01,C100119,4470,4562,92,1.03,94.76,55,5211.8
R000120,2025-01-01,C100120,4375,4458,83,1.02,84.66,55,4656.3
R000121,2025-01-01,C100121,4724,4814,90,1.01,90.9,55,4999.5
R000122,2025-01-01,C100122,3895,3969,74,1.05,77.7,55,4273.5
R000123,2025-01-01,C100123,3927,4010,83,1.03,85.49,55,4701.95
R000124,2025-01-01,C100124,2791,2837,46,1.04,47.84,55,2631.2
R000125,2025-01-01,C100125,4141,4240,99,1.06,104.94,55,5771.7
R000126,2025-01-01,C100126,4636,4735,99,1.05,103.95,55,5717.25
R000127,2025-01-01,C100127,3103,3166,63,1.04,65.52,55,3603.6
R000128,2025-01-01,C100128,4281,4311,30,1.04,31.2,55,1716.0
R000129,2025-01-01,C100129,3021,3115,94,1.04,97.76,55,5376.8
R000130,2025-01-01,C100130,4693,4790,97,1.04,100.88,55,5548.4
R000131,2025-01-01,C100131,3386,3426,40,1.02,40.8,55,2244.0
R000132,2025-01-01,C100132,2041,2127,86,1.05,90.3,55,4966.5
R000133,2025-01-01,C100133,1602,1668,66,1.03,67.98,55,3738.9
R000134,2025-01-01,C100134,1238,1324,86,1.05,90.3,55,4966.5
R000135,2025-01-01,C100135,3768,3826,58,1.06,61.48,55,3381.4
R000136,2025-01-01,C100136,3397,3465,68,1.02,69.36,55,3814.8
R000137,2025-01-01,C100137,4528,4625,97,1.01,97.97,55,5388.35
R000138,2025-01-01,C100138,2338,2381,43,1.03,44.29,55,2435.95
R000139,2025-01-01,C100139,1674,1722,48,1.02,48.96,55,2692.8
R000140,2025-01-01,C100140,1223,1312,89,1.02,90.78,55,4992.9
R000141,2025-01-01,C100141,4087,4154,67,1.02,68.34,55,3758.7
R000142,2025-01-01,C100142,2127,2193,66,1.01,66.66,55,3666.3
R000143,2025-01-01,C100143,3892,3991,99,1.04,102.96,55,5662.8
R000144,2025-01-01,C100144,3850,3889,39,1.05,40.95,55,2252.25
R000145,2025-01-01,C100145,1495,1553,58,1.04,60.32,55,3317.6
R000146,2025-01-01,C100146,3940,4022,82,1.04,85.28,55,4690.4
R000147,2025-01-01,C100147,1207,1282,75,1.01,75.75,55,4166.25
R000148,2025-01-01,C100148,4203,4267,64,1.02,65.28,55,3590.4
R000149,2025-01-01,C100149,3438,3518,80,1.03,82.4,55,4532.0
R000150,2025-01-01,C100150,4630,4724,94,1.04,97.76,55,5376.8
R000151,2025-01-01,C100151,1897,1990,93,1.02,94.86,55,5217.3
R000152,2025-01-01,C100152,4628,4679,51,1.05,53.55,55,2945.25
R000153,2025-01-01,C100153,2269,2331,62,1.04,64.48,55,3546.4
R000154,2025-01-01,C100154,3148,3209,61,1.01,61.61,55,3388.55
R000155,2025-01-01,C100155,3544,3598,54,1.04,56.16,55,3088.8
R000156,2025-01-01,C100156,1886,1931,45,1.05,47.25,55,2598.75
R000157,2025-01-01,C100157,3665,3730,65,1.02,66.3,55,3646.5
R000158,2025-01-01,C100158,4294,4382,88,1.03,90.64,55,4985.2
R000159,2025-01-01,C100159,4066,4126,60,1.05,63.0,55,3465.0
R000160,2025-01-01,C100160,3978,4031,53,1.02,54.06,55,2973.3
R000161,2025-01-01,C100161,3327,3366,39,1.05,40.95,55,2252.25
R000162,2025-01-01,C100162,2463,2520,57,1.03,58.71,55,3229.05
R000163,2025-01-01,C100163,2367,2428,61,1.05,64.05,55,3522.75
R000164,2025-01-01,C100164,2866,2917,51,1.01,51.51,55,2833.05
R000165,2025-01-01,C100165,1051,1092,41,1.05,43.05,55,2367.75
R000166,2025-01-01,C100166,3824,3881,57,1.03,58.71,55,3229.05
R000167,2025-01-01,C100167,1467,1549,82,1.05,86.1,55,4735.5
R000168,2025-01-01,C100168,2947,2984,37,1.02,37.74,55,2075.7
R000169,2025-01-01,C100169,1789,1889,100,1.05,105.0,55,5775.0
R000170,2025-01-01,C100170,4367,4410,43,1.02,43.86,55,2412.3
R000171,2025-01-01,C100171,3151,3242,91,1.01,91.91,55,5055.05
R000172,2025-01-01,C100172,1487,1522,35,1.04,36.4,55,2002.0
R000173,2025-01-01,C100173,3949,4039,90,1.05,94.5,55,5197.5
R000174,2025-01-01,C100174,3439,3496,57,1.03,58.71,55,3229.05
R000175,2025-01-01,C100175,1856,1903,47,1.02,47.94,55,2636.7
R000176,2025-01-01,C100176,1179,1233,54,1.02,55.08,55,3029.4
R000177,2025-01-01,C100177,2596,2665,69,1.02,70.38,55,3870.9
R000178,2025-01-01,C100178,3969,4011,42,1.04,43.68,55,2402.4
R000179,2025-01-01,C100179,4835,4921,86,1.06,91.16,55,5013.8
R000180,2025-01-01,C100180,1426,1497,71,1.05,74.55,55,4100.25
R000181,2025-01-01,C100181,2640,2699,59,1.04,61.36,55,3374.8
R000182,2025-01-01,C100182,3777,3836,59,1.06,62.54,55,3439.7
R000183,2025-01-01,C100183,3921,4000,79,1.01,79.79,55,4388.45
R000184,2025-01-01,C100184,1620,1714,94,1.05,98.7,55,5428.5
R000185,2025-01-01,C100185,3533,3617,84,1.03,86.52,55,4758.6
R000186,2025-01-01,C100186,3702,3738,36,1.03,37.08,55,2039.4
R000187,2025-01-01,C100187,3635,3686,51,1.02,52.02,55,2861.1
R000188,2025-01-01,C100188,2952,3009,57,1.06,60.42,55,3323.1
R000189,2025-01-01,C100189,4828,4862,34,1.01,34.34,55,1888.7
R000190,2025-01-01,C100190,3232,3275,43,1.03,44.29,55,2435.95
R000191,2025-01-01,C100191,1159,1224,65,1.04,67.6,55,3718.0
R000192,2025-01-01,C100192,3870,3926,56,1.06,59.36,55,3264.8
R000193,2025-01-01,C100193,2823,2876,53,1.01,53.53,55,2944.15
R000194,2025-01-01,C100194,1659,1753,94,1.02,95.88,55,5273.4
R000195,2025-01-01,C100195,1202,1257,55,1.01,55.55,55,3055.25
R000196,2025-01-01,C100196,4271,4327,56,1.02,57.12,55,3141.6
R000197,2025-01-01,C100197,2940,3028,88,1.01,88.88,55,4888.4
R000198,2025-01-01,C100198,4575,4656,81,1.03,83.43,55,4588.65
R000199,2025-01-01,C100199,4093,4189,96,1.03,98.88,55,5438.4
R000200,2025-01-01,C100200,1192,1254,62,1.03,63.86,55,3512.3
R000201,2025-01-01,C100201,1811,1846,35,1.03,36.05,55,1982.75
R000202,2025-01-01,C100202,4825,4910,85,1.02,86.7,55,4768.5
R000203,2025-01-01,C100203,2019,2091,72,1.02,73.44,55,4039.2
R000204,2025-01-01,C100204,1644,1709,65,1.04,67.6,55,3718.0
R000205,2025-01-01,C100205,1386,1420,34,1.04,35.36,55,1944.8
R000206,2025-01-01,C100206,1159,1227,68,1.03,70.04,55,3852.2
R000207,2025-01-01,C100207,1573,1668,95,1.05,99.75,55,5486.25
R000208,2025-01-01,C100208,1867,1898,31,1.02,31.62,55,1739.1
R000209,2025-01-01,C100209,3627,3703,76,1.03,78.28,55,4305.4
R000210,2025-01-01,C100210,1369,1417,48,1.03,49.44,55,2719.2
R000211,2025-01-01,C100211,1503,1547,44,1.02,44.88,55,2468.4
R000212,2025-01-01,C100212,2030,2108,78,1.02,79.56,55,4375.8
R000213,2025-01-01,C100213,1273,1335,62,1.03,63.86,55,3512.3
R000214,2025-01-01,C100214,3816,3857,41,1.02,41.82,55,2300.1
R000215,2025-01-01,C100215,4874,4908,34,1.04,35.36,55,1944.8
R000216,2025-01-01,C100216,4003,4072,69,1.05,72.45,55,3984.75
R000217,2025-01-01,C100217,2646,2731,85,1.03,87.55,55,4815.25
R000218,2025-01-01,C100218,1150,1235,85,1.02,86.7,55,4768.5
R000219,2025-01-01,C100219,3214,3268,54,1.02,55.08,55,3029.4
R000220,2025-01-01,C100220,2746,2790,44,1.02,44.88,55,2468.4
R000221,2025-01-01,C100221,2942,3033,91,1.05,95.55,55,5255.25
R000222,2025-01-01,C100222,2845,2939,94,1.05,98.7,55,5428.5
R000223,2025-01-01,C100223,2407,2448,41,1.04,42.64,55,2345.2
R000224,2025-01-01,C100224,3848,3891,43,1.02,43.86,55,2412.3
R000225,2025-01-01,C100225,2860,2959,99,1.02,100.98,55,5553.9
R000226,2025-01-01,C100226,3144,3185,41,1.02,41.82,55,2300.1
R000227,2025-01-01,C100227,1795,1855,60,1.01,60.6,55,3333.0
R000228,2025-01-01,C100228,3484,3520,36,1.04,37.44,55,2059.2
R000229,2025-01-01,C100229,3374,3432,58,1.03,59.74,55,3285.7
R000230,2025-01-01,C100230,4509,4565,56,1.04,58.24,55,3203.2
R000231,2025-01-01,C100231,2028,2122,94,1.01,94.94,55,5221.7
R000232,2025-01-01,C100232,2711,2807,96,1.05,100.8,55,5544.0
R000233,2025-01-01,C100233,1595,1663,68,1.04,70.72,55,3889.6
R000234,2025-01-01,C100234,4385,4476,91,1.05,95.55,55,5255.25
R000235,2025-01-01,C100235,1854,1920,66,1.05,69.3,55,3811.5
R000236,2025-01-01,C100236,4392,4476,84,1.03,86.52,55,4758.6
R000237,2025-01-01,C100237,2690,2761,71,1.02,72.42,55,3983.1
R000238,2025-01-01,C100238,1317,1386,69,1.01,69.69,55,3832.95
R000239,2025-01-01,C100239,4810,4871,61,1.02,62.22,55,3422.1
R000240,2025-01-01,C100240,3448,3493,45,1.05,47.25,55,2598.75
R000241,2025-01-01,C100241,2101,2167,66,1.06,69.96,55,3847.8
R000242,2025-01-01,C100242,2641,2678,37,1.03,38.11,55,2096.05
R000243,2025-01-01,C100243,4476,4534,58,1.03,59.74,55,3285.7
R000244,2025-01-01,C100244,2066,2119,53,1.04,55.12,55,3031.6
R000245,2025-01-01,C100245,4447,4531,84,1.02,85.68,55,4712.4
R000246,2025-01-01,C100246,3910,3995,85,1.04,88.4,55,4862.0
R000247,2025-01-01,C100247,1388,1425,37,1.01,37.37,55,2055.35
R000248,2025-01-01,C100248,1780,1859,79,1.04,82.16,55,4518.8
R000249,2025-01-01,C100249,1932,1990,58,1.04,60.32,55,3317.6
R000250,2025-01-01,C100250,1193,1229,36,1.05,37.8,55,2079.0
R000251,2025-01-01,C100251,2599,2678,79,1.04,82.16,55,4518.8
R000252,2025-01-01,C100252,4909,4960,51,1.04,53.04,55,2917.2
R000253,2025-01-01,C100253,2111,2172,61,1.01,61.61,55,3388.55
R000254,2025-01-01,C100254,1011,1106,95,1.05,99.75,55,5486.25
R000255,2025-01-01,C100255,2111,2149,38,1.05,39.9,55,2194.5
R000256,2025-01-01,C100256,4262,4303,41,1.02,41.82,55,2300.1
R000257,2025-01-01,C100257,2247,2311,64,1.03,65.92,55,3625.6
R000258,2025-01-01,C100258,1154,1190,36,1.02,36.72,55,2019.6
R000259,2025-01-01,C100259,4836,4906,70,1.02,71.4,55,3927.0
R000260,2025-01-01,C100260,1106,1176,70,1.06,74.2,55,4081.0
R000261,2025-01-01,C100261,4369,4430,61,1.05,64.05,55,3522.75
R000262,2025-01-01,C100262,3287,3361,74,1.04,76.96,55,4232.8
R000263,2025-01-01,C100263,2206,2242,36,1.03,37.08,55,2039.4
R000264,2025-01-01,C100264,1950,2034,84,1.03,86.52,55,4758.6
R000265,2025-01-01,C100265,2649,2725,76,1.05,79.8,55,4389.0
R000266,2025-01-01,C100266,1039,1114,75,1.06,79.5,55,4372.5
R000267,2025-01-01,C100267,3677,3729,52,1.04,54.08,55,2974.4
R000268,2025-01-01,C100268,1327,1381,54,1.05,56.7,55,3118.5
R000269,2025-01-01,C100269,1899,1967,68,1.03,70.04,55,3852.2
R000270,2025-01-01,C100270,2220,2290,70,1.02,71.4,55,3927.0
R000271,2025-01-01,C100271,3638,3673,35,1.04,36.4,55,2002.0
R000272,2025-01-01,C100272,3632,3681,49,1.02,49.98,55,2748.9
R000273,2025-01-01,C100273,3971,4019,48,1.03,49.44,55,2719.2
R000274,2025-01-01,C100274,3565,3600,35,1.01,35.35,55,1944.25
R000275,2025-01-01,C100275,1094,1180,86,1.03,88.58,55,4871.9
R000276,2025-01-01,C100276,4495,4573,78,1.02,79.56,55,4375.8
R000277,2025-01-01,C100277,1355,1399,44,1.05,46.2,55,2541.0
R000278,2025-01-01,C100278,4363,4412,49,1.04,50.96,55,2802.8
R000279,2025-01-01,C100279,3396,3431,35,1.02,35.7,55,1963.5
R000280,2025-01-01,C100280,2444,2500,56,1.06,59.36,55,3264.8
R000281,2025-01-01,C100281,2327,2426,99,1.03,101.97,55,5608.35
R000282,2025-01-01,C100282,3759,3846,87,1.02,88.74,55,4880.7
R000283,2025-01-01,C100283,4649,4688,39,1.05,40.95,55,2252.25
R000284,2025-01-01,C100284,2819,2913,94,1.04,97.76,55,5376.8
R000285,2025-01-01,C100285,1138,1203,65,1.03,66.95,55,3682.25
R000286,2025-01-01,C100286,3982,4056,74,1.01,74.74,55,4110.7
R000287,2025-01-01,C100287,4155,4209,54,1.03,55.62,55,3059.1
R000288,2025-01-01,C100288,1754,1817,63,1.01,63.63,55,3499.65
R000289,2025-01-01,C100289,4704,4758,54,1.02,55.08,55,3029.4
R000290,2025-01-01,C100290,4999,5081,82,1.05,86.1,55,4735.5
R000291,2025-01-01,C100291,1342,1406,64,1.05,67.2,55,3696.0
R000292,2025-01-01,C100292,1093,1149,56,1.05,58.8,55,3234.0
R000293,2025-01-01,C100293,3838,3920,82,1.05,86.1,55,4735.5
R000294,2025-01-01,C100294,3529,3564,35,1.06,37.1,55,2040.5
R000295,2025-01-01,C100295,4491,4522,31,1.02,31.62,55,1739.1
R000296,2025-01-01,C100296,2443,2541,98,1.04,101.92,55,5605.6
R000297,2025-01-01,C100297,4465,4562,97,1.04,100.88,55,5548.4
R000298,2025-01-01,C100298,4279,4315,36,1.02,36.72,55,2019.6
R000299,2025-01-01,C100299,3268,3353,85,1.02,86.7,55,4768.5
